priogrid_gid,year_month,lat,lon,faction,level1_side,level2_group,n_events,total_deaths,n_unique_groups,junta_events,anti_junta_events,flag_junta,flag_pdf,flag_kia,flag_aa,flag_karen,flag_karenni,flag_tnla,flag_mndaa,flag_chin_resistance,junta_event_share,anti_junta_event_share,is_pro_junta,n_events_lag1,n_events_lag3,n_events_lag6,n_events_roll3,n_events_roll6,total_deaths_lag1,total_deaths_lag3,total_deaths_lag6,total_deaths_roll3,total_deaths_roll6,event_trend_3m,months_since_last_event,months_in_current_faction,neighbor_n_events,neighbor_changed_faction,attacker_matches_controller,level1_side_next,changed,split
163990,2024-09,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31,1.0,0,0,Pro-Junta,0,train
163990,2024-09,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,1.0,0,0,Pro-Junta,0,train
163990,2024-10,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33,1.0,0,0,Pro-Junta,0,train
163990,2024-10,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,34,1.0,0,0,Pro-Junta,0,train
163990,2024-11,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35,2.0,0,0,Pro-Junta,0,train
163990,2024-11,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,2.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,37,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42,4.0,0,0,Pro-Junta,0,train
163990,2024-12,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,43,4.0,0,0,Pro-Junta,0,train
163990,2025-01,23.75,94.75,Junta,Pro-Junta,Junta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44,5.0,0,0,Pro-Junta,0,train
